load_32_ph_1,load_29_ph_3,load_1_ph_1,load_54_ph_1,load_2_ph_3,load_41_ph_3,load_51_ph_3,load_53_ph_2,load_27_ph_1,load_42_ph_2,load_33_ph_1,load_28_ph_3,load_50_ph_2,load_52_ph_1,load_26_ph_1,load_10_ph_3,load_24_ph_3,load_25_ph_3,load_23_ph_2,load_49_ph_3,load_5_ph_3,load_31_ph_1,load_43_ph_2,load_39_ph_1,load_34_ph_2,load_44_ph_2,load_55_ph_3,load_17_ph_2,load_37_ph_1,load_47_ph_1,load_9_ph_1,load_12_ph_1,load_20_ph_1,load_6_ph_3,load_14_ph_2,load_7_ph_1,load_8_ph_1,load_19_ph_3,load_4_ph_3,load_22_ph_2,load_11_ph_2,load_35_ph_1,load_13_ph_2,load_15_ph_1,load_16_ph_1,load_40_ph_2,load_21_ph_3,load_38_ph_1,load_46_ph_2,load_45_ph_2,load_36_ph_2,load_48_ph_1,load_18_ph_2,load_30_ph_2,load_3_ph_2,scenario_id,time_step
-0.02090575612219481,-1.056078255861353,-0.019934903293885864,-0.010888633741493849,-1.056046122148927,-1.053449223367399,-1.055733220264728,1.0282210394216125,-0.02054714404831666,1.0220149449311802,-0.015914314083195342,-1.0573266432316297,1.0244817975164378,-0.009204951897624006,-0.020634474006996698,-1.0577168885382608,-1.0565948001995271,-1.0554694633431565,1.0337896357685639,-1.0576566790983244,-1.0526566569985947,-0.02051990977067013,1.0247500891315737,-0.011379060054827693,1.034895141368088,1.0218912634464,-1.0533441357262254,1.0253920232661309,-0.02052956287934795,-0.020907619228645702,-0.0027237318903390287,-0.020458466905062603,-0.0204543138016999,-1.0565865294267185,1.0348760427313248,-0.0205768105846775,-0.01736441760675406,-1.0526575306679524,-1.0584365948454948,1.035371954971901,1.0415149248981794,-0.020457401907276178,1.0252266564467518,-0.002735470021687098,-0.02044414758854191,1.0238217557005078,-1.0584650163634362,-0.00909138899717189,1.0254878111566001,1.0222224773260038,1.024475482079493,-0.017400245157322414,1.033946875497846,1.021894271080023,1.0413964662096988,1.0,1.0
-0.015883897863447825,-1.0556783815992314,-0.015313960468908363,-0.008567318750568362,-1.0562982576166267,-1.0532115057966593,-1.0556139548315056,1.0326758768477091,-0.0158865666599058,1.0269042803662973,-0.012323910526631166,-1.0570080480039565,1.0310630703099852,-0.007142286639491232,-0.015604646435097987,-1.0574293917751452,-1.0562976818912577,-1.0551925257749382,1.0365138627139339,-1.0574484777910946,-1.0524644293751158,-0.015305840836611354,1.0291006007361716,-0.008872507892828882,1.0373906500190164,1.026771212959224,-1.0531568045662407,1.0294907794871573,-0.015526978811663312,-0.01590866099749312,-0.002131794183278335,-0.015847075975932823,-0.01579233353590761,-1.056295653633468,1.0373908394504159,-0.015007979776457939,-0.013562261406040645,-1.0524510596984693,-1.0580382089569407,1.0378394321287077,1.0427448008613418,-0.015267745573391011,1.0312839332512627,-0.0021280440077477377,-0.015790775488422934,1.0280525974610482,-1.0580604597916954,-0.007133656472631302,1.0300641860876243,1.027160820518754,1.0310338890635877,-0.013528122427036972,1.0366239143460796,1.0268172612870223,1.042533409565593,1.0,54.0
-0.014221918522348158,-1.055364275009003,-0.013083467556767463,-0.007121968315563997,-1.055461209644469,-1.0533154113602816,-1.0552616928934877,1.0331062685480865,-0.013838494554603831,1.027753380507439,-0.01048493357282526,-1.0566750312178603,1.0319068423013715,-0.005954874761876065,-0.013940198881908516,-1.057026110160843,-1.0559992554218463,-1.0548994666707505,1.0366578064863095,-1.056979040130492,-1.0523796949249935,-0.013531028232675546,1.0297095772137759,-0.007371887394371685,1.0375599149073553,1.0274800331532,-1.0533057955018819,1.0303676738556264,-0.013958161156427895,-0.014201260017090307,-0.0017578639602675574,-0.013749492110068814,-0.013725838867060507,-1.0558682362518907,1.037552046561058,-0.013295466509347027,-0.011469990683240516,-1.0523660117159968,-1.05772220172367,1.0380104252748357,1.0425323208878423,-0.013473491201879639,1.0321408935983098,-0.001799248971270379,-0.01369228945993516,1.0289514775990771,-1.0577390551941115,-0.0059501910696374725,1.0304904209515044,1.0277824416823242,1.0318457117256232,-0.011478893857702234,1.0368009342384257,1.0274290196600566,1.0425299756197384,1.0,101.0
-0.014215057344027561,-1.0565511836245594,-0.013515635941708565,-0.0076587359235705515,-1.0566297913465792,-1.0538366715753091,-1.0564199281830025,1.031721366940364,-0.014354583196775014,1.0253071929615205,-0.01098337877644079,-1.0580155115288656,1.03020109868722,-0.006757814093690357,-0.013868475715442578,-1.0583922175706977,-1.0574561633175832,-1.0560063982969705,1.0354052159771134,-1.0584039144671937,-1.0530272256441704,-0.013626379751492453,1.0278366227032145,-0.008075738896363522,1.0357229915959854,1.0251054556347634,-1.0538551307888244,1.028456767939488,-0.013827578163673375,-0.01417526420662234,-0.0019666529507505514,-0.014289674263263916,-0.014217699456721997,-1.057245387978454,1.0358879168321238,-0.013492591446690856,-0.011972640064995247,-1.0530211926871682,-1.0591327161715358,1.0366798254485108,1.042301737688631,-0.01358960353884854,1.0304436159207842,-0.002022324708116135,-0.014205765305174116,1.0267664393716902,-1.059131728139911,-0.006490805576267894,1.0283921893759151,1.025508556848252,1.0300961658483787,-0.011969803326799743,1.0354851819638675,1.0250895088921155,1.0420500969663296,1.0,41.0
-0.018566646841688114,-1.0551647496587242,-0.01737523944227885,-0.009612369456851448,-1.0551591584290507,-1.0529543093661964,-1.054880929768522,1.0308765418196613,-0.018337827460460435,1.0252426652240183,-0.014010799418285626,-1.0563011138177887,1.0280448748360076,-0.008146795166993376,-0.018223791256324406,-1.0567333913783985,-1.055591884784696,-1.05464916084473,1.0354881392193644,-1.0567649336920653,-1.0521231307969594,-0.017978021859028484,1.027751046689534,-0.010024867891813515,1.036545470094805,1.0251015367956293,-1.0528457162058085,1.0283937889250154,-0.018154541691857203,-0.018515484608142594,-0.002350153654550876,-0.018363580204965913,-0.018289582389792912,-1.0554946754152044,1.0365525643023066,-0.017710209901563446,-0.015160207708226379,-1.052115749188634,-1.0572597635806908,1.0369624161898652,1.0421287906513528,-0.017918183087398086,1.028642964110323,-0.0023933479160337294,-0.01828944636444435,1.0267854950742548,-1.057261536810732,-0.008018410941969515,1.0284653183281307,1.025383741549324,1.0282968666222732,-0.015185944272264301,1.0356350406423218,1.0251114320079662,1.042142902674634,1.0,65.0
-0.014632992099464373,-1.0545910197119803,-0.01406173188218796,-0.007824255464190412,-1.0545650569869862,-1.0525769169046701,-1.0543020801983276,1.0317697444091718,-0.014691080831910942,1.0245653902135148,-0.011125614993818518,-1.0555829165510513,1.0302635629917007,-0.006558525137281208,-0.014391747695003012,-1.0558781989651143,-1.0549958967849096,-1.054110774854549,1.035857001345504,-1.0559107955736156,-1.051817653917268,-0.013998408469110386,1.0275254168544647,-0.008002438879064799,1.0368156410707652,1.0242681604452817,-1.0525050575288266,1.0281433571636607,-0.014219393010595603,-0.014625516395055637,-0.0019285464915345673,-0.014716273982488884,-0.014613052440909815,-1.054911539984397,1.0368010684900384,-0.013850950012753632,-0.012088018640135197,-1.0518108014807248,-1.0565249131585315,1.0372279521791392,1.0424007301181364,-0.013950585268147063,1.0306249261344838,-0.001942725824968155,-0.014603316133028628,1.0259510084337056,-1.0565728723529613,-0.006422548206762156,1.0285474642331043,1.024768864631352,1.0303161107218175,-0.012099490511131804,1.036018809610208,1.0243564998200623,1.04226141200872,1.0,168.0
-0.016627972142080134,-1.0556519777211961,-0.016146831884814646,-0.009016098764935884,-1.0557833803776164,-1.053304612927064,-1.0555680381340176,1.0311545104982673,-0.0173531980641454,1.025231296447132,-0.013035295757928098,-1.0569242020120402,1.0288739118389436,-0.007550085136442892,-0.016270752771893517,-1.057233373573855,-1.0564786399718562,-1.0552161351503226,1.035651024230358,-1.0572649203674767,-1.0525321237195338,-0.01585776683557232,1.0274637052155924,-0.009246202949285862,1.0366022704580218,1.0250195854593227,-1.053325732758122,1.0279682510042956,-0.016274660374500247,-0.016648209820365106,-0.002242897521138239,-0.017355085955050552,-0.017169564367845655,-1.056236990609192,1.0366341067767724,-0.01572436434875882,-0.014309854406931659,-1.052528900176616,-1.0578157136503263,1.037072817654824,1.0422611988166206,-0.015851874456279707,1.0293374254018886,-0.0022314284996015473,-0.01718942773902851,1.026611913608086,-1.057797421392018,-0.007440099179691534,1.0285828089593525,1.0254309435411972,1.0289871362904488,-0.014397900072424885,1.0356914062586364,1.025031226768992,1.0421055860637698,1.0,159.0
-0.014927024324315554,-1.0551213087968536,-0.0135786096889632,-0.00766726531861902,-1.0551960563533258,-1.0528025786237314,-1.0549546112323192,1.0311202184131565,-0.014046099437155422,1.0262097010552143,-0.011126428455506859,-1.0562180794190603,1.0279800519727174,-0.006435752474735606,-0.014563910155994368,-1.0566076557728552,-1.0556002578740595,-1.054588803017635,1.0356328651834945,-1.0566510488403686,-1.0520373912473437,-0.01419739527341795,1.0282874024197917,-0.007942701714579808,1.0365843296038466,1.0259458067823108,-1.0527068644151798,1.028811264131324,-0.014541336624837429,-0.014985114144559152,-0.0019050982517327798,-0.014013817188531431,-0.013896775537944533,-1.0554808064744983,1.036556631975687,-0.01406020641987492,-0.012085388920765387,-1.052028249117465,-1.0572790979929636,1.0370548278468301,1.0422548535177727,-0.01415245121966829,1.0285495922165948,-0.001929290874783644,-0.013859423154802082,1.027220243310769,-1.0573076624895972,-0.00634586078060687,1.0291552736471046,1.0263573073207777,1.0280323287564244,-0.01209173095737067,1.0357215281539935,1.0259213236846474,1.042182127148443,1.0,190.0
-0.015481841852265378,-1.0545542889313841,-0.014445898526230965,-0.007992462312549877,-1.0546214572724941,-1.0525756500203407,-1.0544481428898134,1.0320232661349193,-0.014874251070793851,1.0247830694791489,-0.011591463653162624,-1.0558222746920893,1.0307875266194129,-0.0068291697733525265,-0.015230055356853702,-1.0561704311113607,-1.0552075233753184,-1.0541404822406666,1.0358358304719704,-1.056132341879023,-1.0518514779453407,-0.015033145209164458,1.0278647688237719,-0.008245999599549405,1.0366535137054815,1.0246311517731592,-1.052483399937604,1.0286049029406588,-0.015212381227579622,-0.015443123412567997,-0.0019664183960422287,-0.014833694514454359,-0.01474251869925065,-1.0551964456007619,1.0366558846139668,-0.014772270829372222,-0.01257364121507236,-1.05185208460086,-1.0568114600669916,1.037162228217883,1.0422627489564082,-0.015000132747772446,1.0310197140399515,-0.002017417716329269,-0.01470662037380752,1.0266703179708963,-1.0568550710623403,-0.006761733829564519,1.0287391669713895,1.0249758769715431,1.0307940853446618,-0.012545874213750275,1.0359409336831902,1.0246701471981459,1.041967570392321,1.0,88.0
-0.02043720737493598,-1.0552851783713757,-0.01706153041515213,-0.00943239857043012,-1.0556831678566696,-1.053128902461084,-1.0554387643222363,1.0326002406128774,-0.01831372218640396,1.0266250383406423,-0.013994244546147897,-1.0568577568024853,1.031367448125222,-0.008036082573817448,-0.01914612333716987,-1.0572243684979181,-1.056109892791752,-1.0549830448468183,1.0359594013342521,-1.0571767786587112,-1.0523644512885655,-0.018131229952862357,1.0289835864515515,-0.009872187932295634,1.03617913155578,1.0265838308923834,-1.0530378760705286,1.029536876579655,-0.01905026624122542,-0.02016542497825993,-0.0023206207649272056,-0.018252649507744138,-0.018163897841569465,-1.0559978805384176,1.0360942470278875,-0.01783389852048307,-0.01523191712441167,-1.0523616486164789,-1.0579786012590215,1.0371923615052168,1.0423861507676637,-0.01808157282129811,1.0315171427756016,-0.00239166072423039,-0.018158457913129145,1.028164282518296,-1.0580258685854362,-0.007931274363906771,1.0300372608563733,1.0266848749090285,1.0313377947246123,-0.015244626359025428,1.0360423728871861,1.0265874696256123,1.0423240891681553,1.0,26.0
